Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
dd258b46-8c3b-429a-9884-c38d29f1a77d,2018-02-15 19:11:33,Running,,10.27,1:00:19,5:52,10.22,730.0,174,146,"","TomTom MySports Watch",2018-02-15-191133.gpx
cd9359da-2c5b-4c41-ac83-b4c237a85701,2018-02-13 18:27:44,Running,,10.60,1:01:20,5:47,10.37,750.0,179,146,"","TomTom MySports Watch",2018-02-13-182744.gpx
e8203d40-8298-4484-9380-617d6b0d3aa5,2018-02-04 17:47:37,Running,,10.08,58:57,5:51,10.26,713.0,175,141,"","TomTom MySports Watch",2018-02-04-174737.gpx
d1d36e85-9f28-4ab4-a4c2-60aea8f77490,2018-01-28 13:23:30,Running,,13.00,1:13:42,5:40,10.59,910.0,174,152,"","TomTom MySports Watch",2018-01-28-132330.gpx
6d853ab2-e3c3-4206-af59-e22096f1b1d5,2018-01-24 18:13:26,Running,,11.59,1:10:30,6:05,9.86,847.0,196,143,"","TomTom MySports Watch",2018-01-24-181326.gpx
2a24b579-7365-49da-a4e4-67c13d097e39,2018-01-21 11:46:12,Running,,10.52,1:00:59,5:48,10.35,744.0,153,154,"","TomTom MySports Watch",2018-01-21-114612.gpx
039df468-14d0-4fdd-8496-c9f06f5a5d47,2018-01-14 12:48:41,Running,,13.01,1:12:44,5:35,10.73,910.0,180,153,"","TomTom MySports Watch",2018-01-14-124841.gpx
2e4cf2f3-0bec-47fa-8890-86883953620a,2018-01-08 18:25:42,Running,,10.64,1:03:43,5:59,10.02,769.0,182,140,"","TomTom MySports Watch",2018-01-08-182542.gpx
6344fc66-c0ec-47c5-bfae-c1d2b8d599c1,2018-01-05 17:45:58,Running,,11.40,1:06:31,5:50,10.28,804.0,187,150,"","TomTom MySports Watch",2018-01-05-174558.gpx
04c2266b-0ff3-4789-9ebb-8e28d483a3bd,2018-01-02 17:41:34,Running,,11.51,1:07:45,5:53,10.20,815.0,190,150,"","TomTom MySports Watch",2018-01-02-174134.gpx
bbfe7660-45db-4b6f-982f-11ca900db7e5,2017-12-30 17:11:53,Running,,11.69,1:10:16,6:01,9.98,841.0,192,150,"","TomTom MySports Watch",2017-12-30-171153.gpx
c0706fc2-7192-4c28-b1f4-0553dc423ded,2017-12-27 18:50:24,Running,,8.29,45:56,5:33,10.83,622.0,131,147,"","TomTom MySports Watch",2017-12-27-185024.gpx
45475dee-1fba-4bc5-bdf1-1ca458d0b20a,2017-12-04 18:14:41,Running,,10.00,59:43,5:58,10.05,717.0,160,142,"","TomTom MySports Watch",2017-12-04-181441.gpx
402c9db6-fae4-43fe-b98b-92d474872f81,2017-11-25 12:17:22,Running,,12.85,1:10:04,5:27,11.00,899.0,176,157,"","TomTom MySports Watch",2017-11-25-121722.gpx
bae73a36-cb24-4137-96c2-156e569cd015,2017-11-22 18:21:12,Running,,7.55,43:29,5:46,10.42,534.0,129,140,"","TomTom MySports Watch",2017-11-22-182112.gpx
80ef1296-34ab-4880-af73-f7d9c8814b27,2017-11-15 18:06:19,Running,,10.42,1:03:00,6:03,9.93,748.0,159,139,"","TomTom MySports Watch",2017-11-15-180619.gpx
3f5756f2-b3dc-4aa7-acc3-e38d7fa8e546,2017-11-09 18:39:48,Running,,9.20,53:40,5:50,10.29,656.0,155,155,"","TomTom MySports Watch",2017-11-09-183948.gpx
